,Kudos,Hits,Comments,Bookmarks,Collections,Chapters,DaysSinceUpdated,WordCount,Fandoms,SummaryWordCount,Relationships,Characters,Tags,AuthorNumWorks,AuthorNumSeries,AuthorNumBookmarks,AuthorNumCollections,AuthorNumGifts,Complete,OneShot
0,156.2737866,2981.075546,49.22826001,24.05027977,0,4.826406216,397.6944187,5898.893793,1.496843203,58.5571084,3.114457187,8.273042441,10.38941353,49.25083932,4.316940419,37.79549545,0.3259484232,13.10027715,F,F
1,27.11573955,341.0553529,1.823701564,4.242725089,0.9766253513,1.855565027,399.7146777,3306.169244,1.07892563,39.79272985,3.414991156,11.01991383,12.72021313,48.46582191,4.158447788,37.81252003,0.259811356,13.01352756,F,F
2,60.36752507,772.7350714,26.73747895,6.454012961,0.7441376157,2.784731335,415.1668093,4139.173659,1.503350746,88.97056257,6.802089995,4.631944634,9.233627572,49.1268459,4.263560516,38.50562674,-0.2726542255,13.03201611,T,F
3,7.009076692,106.0481967,0,0,1.562023929,1.167877133,489.9317241,1888.645869,1.026617858,8.735225888,1.023107366,2.78352246,0.8575133035,48.78977011,4.146046439,38.08943144,0.1218206606,13.17069625,T,T
4,23.0083936,309.3089531,5.84052869,2.379261731,1.065350392,1.106523996,492.1190834,10549.95423,1.157126858,35.15218097,2.170564436,3.192277255,9.933117321,49.42427425,4.032473827,37.92387144,0.3229658362,13.09818836,T,T
5,5.151337416,50.337062,0,1.19573207,0.9882774444,1.241906176,501.2266714,1320.100092,1.013110817,21.30342957,1.419507011,1.102858136,0.938231083,49.00814144,4.149253652,37.80790749,-0.16545743,13.62466605,T,T
6,9.999958894,199.7585312,1.163891407,1.268585842,0.4736585438,0.9771021127,509.8331788,1026.754782,1.295624738,34.60251022,1.93893847,6.084434621,4.480944541,48.43892742,3.761610925,37.83596366,0.2881225165,13.21580293,T,T
7,22.66150285,309.4067114,2.133877826,0,1.312363067,1.032107506,509.8685222,1163.077379,0.8103160102,19.19373868,0.7315724439,1.145076304,0.5027393258,48.23426872,4.07729078,38.15028614,0.1134068576,13.20007053,T,T
8,26.80862536,189.0655227,3.715161868,2.292756619,0,0.4517931386,520.5916378,703.1714233,0.9489049299,24.54766468,1.12203419,2.994371351,1.059248489,49.14547543,3.914416609,38.17849153,0.1823292736,13.09276015,T,T
9,6.677867515,65.56471921,1.744600883,0,0,0.9934889918,523.8387473,1634.674616,1.209114337,8.893014503,1.538303566,4.474302024,4.56121506,49.51353911,4.121235111,37.90946257,-0.5127898425,13.13871399,T,T
10,30.30911263,252.3942557,6.772405658,2.20194266,1.333078695,1.000722723,558.1123089,1076.014509,1.737603983,17.4064876,0.855183014,0.9840998581,0.9629655069,48.70116338,4.195548742,37.83320323,0.3176481501,12.59054381,T,T
11,16.69395331,158.8050782,9.573133578,1.081516869,1.086633889,0.8831909122,561.4040907,804.9894942,0.5813327357,17.82231375,1.620847475,3.152521274,1.028955361,49.13186183,4.080721196,38.04505027,-0.1901822508,12.94939457,T,T
12,30.05347037,651.0930756,18.03286791,1.873639777,0,3.881359805,570.0572124,4912.025267,1.404316443,20.30179547,2.945606998,3.985114262,7.076058994,49.01447484,3.977997579,37.89996677,0.3304629873,12.36453396,T,F
13,75.26271225,508.6941033,11.91063421,2.762602587,0,0.8223539942,668.0087917,787.6489969,0.9077811708,8.686284933,0.7061316314,1.036360047,1.517414557,49.38633186,3.823592173,37.96145809,-0.2139975275,12.60250424,T,T
14,32.23604756,316.940938,6.291078143,0.5684489079,0,0.7609920785,673.1150243,645.849998,0.6795220099,14.89434165,0.8372927691,2.981001569,1.837643997,49.12151441,4.130852362,37.92968079,0.01893965993,13.22181748,T,T
15,79.42247703,1020.009013,15.80781785,3.089517961,0.9752429246,0.3256774333,676.7376851,1886.948896,0.9957074321,20.15474473,2.075355334,6.430345176,9.715710388,49.25318798,3.785387094,37.90899889,0.3006208056,13.14997679,T,T
